"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Restful Booker API","0","Reservas","1","0","TC-API-05 EXCLUSÃO DE RESERVA","0"
"0","Restful Booker API","0","Reservas","1","0","TC-API-02 CRIAÇÃO DE RESERVA","0"
"0","Restful Booker API","0","Reservas","1","0","TC-API-04 ATUALIZAÇÃO DE RESERVA","0"
"0","Restful Booker API","0","Autenticacao","1","0","TC-API-01 AUTENTICAÇÃO BÁSICA","0"
"0","Restful Booker API","0","Reservas","1","0","TC-API-03 LEITURA E VALIDAÇÃO DE RESERVA","0"
